epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,176.531,1.34306,1.03898,1.11904,0.60131,0.7951,0.72314,0.42963,1.39872,1.24418,1.16779,0.00053344,0.00053344,0.00053344
2,332.695,1.35709,0.98149,1.13372,0.59022,0.70721,0.70801,0.41477,1.41337,1.27849,1.17724,0.00102991,0.00102991,0.00102991
3,989.065,1.3444,1.01517,1.12653,0.71799,0.75208,0.79307,0.47893,1.36651,1.01221,1.1583,0.00147193,0.00147193,0.00147193
4,1150.65,1.32768,0.98359,1.11181,0.71846,0.73563,0.78213,0.47304,1.37851,1.19266,1.18003,0.00141945,0.00141945,0.00141945
5,1308.27,1.31978,0.96624,1.11714,0.73231,0.73757,0.78584,0.46908,1.35875,1.03143,1.14452,0.00133693,0.00133693,0.00133693
6,1469.51,1.31627,0.9515,1.11145,0.72499,0.67923,0.73133,0.43562,1.41057,1.09881,1.18785,0.00125442,0.00125442,0.00125442
7,1626.88,1.28991,0.94564,1.10576,0.69512,0.77878,0.77569,0.45011,1.36535,1.03753,1.1496,0.0011719,0.0011719,0.0011719
8,1785.23,1.25497,0.89194,1.09218,0.6138,0.77847,0.75839,0.4484,1.3754,1.18906,1.16963,0.00108938,0.00108938,0.00108938
