epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,233.574,1.26439,1.12939,1.11997,0.72372,0.73309,0.77581,0.44842,1.37944,1.2171,1.15322,0.00053344,0.00053344,0.00053344
2,457.658,1.22097,1.10504,1.10253,0.68872,0.73564,0.75315,0.43322,1.41148,1.25132,1.16492,0.000976279,0.000976279,0.000976279
3,675.684,1.23061,1.08032,1.09814,0.57299,0.65308,0.61702,0.34991,1.35988,1.43148,1.14629,0.0013102,0.0013102,0.0013102
4,895.239,1.21865,1.0586,1.09946,0.55996,0.71677,0.63852,0.37374,1.37197,1.35447,1.18392,0.0011719,0.0011719,0.0011719
5,1114.24,1.24984,1.01973,1.10808,0.63675,0.75621,0.73806,0.43764,1.38384,1.24184,1.14661,0.00100687,0.00100687,0.00100687
6,1336.19,1.20489,0.97704,1.09667,0.69157,0.74494,0.74712,0.43966,1.41679,1.18514,1.16179,0.000841835,0.000841835,0.000841835
7,1557.06,1.2104,0.94059,1.09889,0.71171,0.77014,0.78044,0.46662,1.39147,1.04847,1.15471,0.000676802,0.000676802,0.000676802
8,1776.52,1.21382,0.8848,1.09002,0.74899,0.73427,0.78777,0.46059,1.39098,1.0542,1.14834,0.000511769,0.000511769,0.000511769
9,1995.61,1.22149,0.87569,1.08338,0.75565,0.73013,0.7901,0.47023,1.38297,1.05241,1.14622,0.000346736,0.000346736,0.000346736
10,2215.31,1.20061,0.8603,1.08544,0.75343,0.71764,0.78785,0.47256,1.37011,1.02353,1.13917,0.000181703,0.000181703,0.000181703
